City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,description
173,Iqaluit,63.7506,-68.5145,49.73,66,75,13.0,CA,broken clouds
174,Mount Pleasant,32.7941,-79.8626,87.01,68,20,1.01,US,few clouds
175,Dondo,-19.6094,34.7431,69.31,62,57,9.53,MZ,broken clouds
176,Pevek,69.7008,170.3133,37.2,94,90,3.91,RU,overcast clouds
177,Tura,25.5198,90.2201,76.3,94,20,5.99,IN,few clouds
178,Shawville,45.6001,-76.4827,78.53,50,100,9.73,CA,overcast clouds
179,Stromness,58.965,-3.296,58.96,90,88,13.38,GB,overcast clouds
180,Takoradi,4.8845,-1.7554,78.33,69,86,9.98,GH,overcast clouds
181,Perote,19.5667,-97.2333,60.37,41,1,3.98,MX,clear sky
182,Adrar,20.5022,-10.0711,106.9,14,10,2.51,MR,clear sky
183,San Jeronimo,-11.9472,-75.2829,56.35,31,0,2.71,PE,clear sky
184,Yaransk,57.3033,47.8861,62.74,43,71,9.91,RU,broken clouds
185,Domoni,-12.2569,44.5319,75.61,71,52,14.94,KM,broken clouds
186,Padre Bernardo,-15.35,-48.5,80.89,27,1,8.72,BR,clear sky
187,Clyde River,70.4692,-68.5914,35.83,93,90,12.66,CA,overcast clouds
188,Pisco,-13.7,-76.2167,65.01,72,90,3.44,PE,overcast clouds
189,Eldorado,-23.7869,-54.2836,74.82,35,0,11.32,BR,clear sky
190,Pochutla,15.7432,-96.4661,84.02,52,100,1.14,MX,overcast clouds
191,Santo Domingo,18.5001,-69.9886,89.28,70,40,5.01,DO,scattered clouds
192,Yichang,30.7144,111.2847,75.38,93,21,4.27,CN,few clouds
193,Shenjiamen,29.9576,122.298,76.42,94,100,50.58,CN,heavy intensity rain
194,Zhigansk,66.7697,123.3711,58.86,73,4,18.07,RU,clear sky
195,Longyearbyen,78.2186,15.6401,46.24,76,75,9.22,SJ,broken clouds
196,Teya,60.3778,92.6267,67.86,60,93,2.64,RU,overcast clouds
197,Egvekinot,66.3167,-179.1667,44.2,98,100,2.26,RU,light rain
198,Pitimbu,-7.4706,-34.8086,82.99,60,2,16.08,BR,clear sky
199,Charters Towers,-20.1,146.2667,61.54,45,81,9.48,AU,broken clouds
200,Atuona,-9.8,-139.0333,77.94,67,99,15.57,PF,overcast clouds
201,Carnarvon,-24.8667,113.6333,62.67,64,40,6.91,AU,scattered clouds
202,Zemio,5.0314,25.1361,79.03,69,88,4.61,CF,overcast clouds
203,Denia,38.8408,0.1057,94.95,63,0,8.43,ES,clear sky
204,Saint-Philippe,-21.3585,55.7679,71.15,80,55,6.53,RE,broken clouds
205,Guerrero Negro,27.9769,-114.0611,71.24,76,100,7.31,MX,overcast clouds
206,Kodiak,57.79,-152.4072,54.91,94,90,0.0,US,overcast clouds
207,Port Elizabeth,-33.918,25.5701,60.1,51,0,8.05,ZA,clear sky
208,Viedma,-40.8135,-62.9967,51.15,42,100,10.0,AR,overcast clouds
209,Asau,46.4333,26.4,79.39,48,78,2.91,RO,broken clouds
210,Coihaique,-45.5752,-72.0662,34.41,100,90,0.0,CL,fog
211,Kaeo,-35.1,173.7833,53.33,91,39,9.24,NZ,scattered clouds
212,Kenai,60.5544,-151.2583,54.14,96,90,6.91,US,moderate rain
213,La Rioja,42.25,-2.5,78.58,18,93,8.16,ES,overcast clouds
214,Severo-Kurilsk,50.6789,156.125,53.83,96,85,3.18,RU,overcast clouds
215,Sabha,27.0377,14.4283,95.36,13,0,13.11,LY,clear sky
216,Kaitangata,-46.2817,169.8464,39.92,58,62,4.61,NZ,broken clouds
217,Luderitz,-26.6481,15.1594,69.75,29,4,3.58,NA,clear sky
218,Kushima,31.4583,131.2333,78.12,93,100,13.04,JP,overcast clouds
219,Saint George,37.1041,-113.5841,86.34,53,1,1.99,US,clear sky
220,Lakes Entrance,-37.8811,147.981,49.57,66,100,11.99,AU,light rain
221,Garden City,42.3256,-83.331,81.81,83,90,11.5,US,haze
222,Nagato,34.3833,131.2,80.51,84,100,6.33,JP,overcast clouds
223,Bontang,0.1333,117.5,78.51,88,88,9.46,ID,overcast clouds
224,Bairiki,1.3292,172.9752,82.4,78,20,5.75,KI,few clouds
225,Bulgan,48.8125,103.5347,59.47,83,100,1.3,MN,overcast clouds
226,Kautokeino,69.0125,23.0412,56.89,63,100,13.53,NO,overcast clouds
227,Cherskiy,68.75,161.3,37.9,87,69,4.23,RU,broken clouds
228,Chulym,55.0997,80.9572,68.77,65,75,5.77,RU,broken clouds
229,Fortuna,40.5982,-124.1573,54.66,60,1,3.2,US,clear sky
230,Te Anau,-45.4167,167.7167,38.97,89,100,2.37,NZ,light rain
231,Kahului,20.8947,-156.47,77.85,89,1,9.22,US,clear sky
232,Kungurtug,50.5994,97.5228,58.35,93,85,2.59,RU,overcast clouds
233,Colon,9.3592,-79.9014,77.45,94,100,5.01,PA,overcast clouds
234,Cananea,30.95,-110.3,67.78,78,100,5.64,MX,overcast clouds
235,Diamantina,-18.2494,-43.6003,67.12,40,4,11.97,BR,clear sky
236,Youkounkoun,12.5333,-13.1333,82.29,80,96,5.7,GN,moderate rain
237,Provideniya,64.3833,-173.3,47.25,98,100,9.53,RU,light rain
238,Avera,33.194,-82.5271,86.92,60,0,5.82,US,clear sky
239,Parry Sound,45.3501,-80.033,70.88,77,99,15.64,CA,moderate rain
240,Sungai Besar,3.6746,100.9867,80.65,75,100,3.36,MY,overcast clouds
241,Nanortalik,60.1432,-45.2371,43.84,97,100,11.14,GL,overcast clouds
242,Taoudenni,22.6783,-3.9836,113.47,5,6,9.82,ML,clear sky
243,Norman Wells,65.282,-126.8329,55.44,71,75,11.5,CA,broken clouds
244,College,64.8569,-147.8028,61.59,95,90,4.61,US,moderate rain
245,Najran,17.4924,44.1277,92.05,24,38,17.25,SA,scattered clouds
246,Gangavalli,11.4983,78.6497,85.98,57,85,7.34,IN,overcast clouds
247,Pamekasan,-7.1568,113.4746,77.09,75,5,5.7,ID,clear sky
248,Javanrud,34.7961,46.5172,100.04,13,0,14.54,IR,clear sky
249,Quartucciu,39.2519,9.1794,95.18,53,0,12.66,IT,clear sky
250,Kavaratti,10.5669,72.642,82.0,83,16,18.34,IN,few clouds
251,Huambo,-12.7761,15.7392,77.61,12,0,8.05,AO,clear sky
252,Pierre,44.3683,-100.351,84.27,70,1,8.01,US,clear sky
253,Gat,31.61,34.7642,85.78,30,2,11.23,IL,clear sky
254,Castro,-24.7911,-50.0119,70.02,40,0,7.74,BR,clear sky
255,Eyrarbakki,63.863,-21.1481,57.2,87,100,11.9,IS,overcast clouds
256,Vardo,70.3705,31.1107,46.58,79,96,27.65,NO,overcast clouds
257,Jyvaskyla,62.2415,25.7209,73.13,46,0,5.75,FI,clear sky
258,Damara,4.9608,18.7035,83.62,75,100,3.69,CF,light rain
259,Leningradskiy,69.3833,178.4167,36.18,95,100,2.93,RU,overcast clouds
260,Shakawe,-18.3667,21.85,78.46,18,0,7.9,BW,clear sky
261,Maceio,-9.6658,-35.7353,81.84,65,75,16.11,BR,broken clouds
262,Greencastle,39.6445,-86.8647,82.94,80,40,1.01,US,scattered clouds
263,Katangli,51.7102,143.2326,58.86,99,87,5.23,RU,overcast clouds
264,High Rock,26.6208,-78.2833,77.02,81,100,21.25,BS,overcast clouds
265,Hammerfest,70.6634,23.6821,46.85,93,75,14.97,NO,broken clouds
266,Saint-Paul,-21.0096,55.2707,71.69,72,17,1.41,RE,few clouds
267,Karratha,-20.7377,116.8463,71.74,58,17,4.34,AU,few clouds
268,Isla Mujeres,21.2311,-86.731,86.05,69,70,6.6,MX,broken clouds
269,Sydney,-33.8679,151.2073,56.71,61,0,7.0,AU,clear sky
270,Port Hardy,50.6996,-127.4199,57.38,100,90,2.3,CA,fog
271,Norilsk,69.3535,88.2027,57.56,66,69,10.45,RU,broken clouds
272,Isangel,-19.55,169.2667,75.22,86,6,2.91,VU,clear sky
273,Cabo San Lucas,22.8909,-109.9124,90.61,66,20,1.99,MX,few clouds
274,Deputatskiy,69.3,139.9,47.08,72,76,6.46,RU,broken clouds
275,Severnyy,50.677,36.5532,78.84,44,0,8.95,RU,clear sky
276,Ushtobe,45.2514,77.9838,85.42,20,0,6.4,KZ,clear sky
277,Aykhal,66.0,111.5,56.71,60,100,0.76,RU,overcast clouds
278,Namibe,-15.1961,12.1522,74.52,55,0,7.61,AO,clear sky
279,Cairns,-16.9167,145.7667,68.07,100,77,1.14,AU,mist
280,Faro,37.0194,-7.9322,78.58,57,0,20.71,PT,clear sky
281,Cayenne,4.9333,-52.3333,86.09,79,75,8.01,GF,broken clouds
282,Usinsk,65.9939,57.5281,51.53,81,100,7.34,RU,overcast clouds
283,Lavrentiya,65.5833,-171.0,47.7,87,100,8.75,RU,overcast clouds
284,Lagoa,39.05,-27.9833,70.88,95,11,14.63,PT,few clouds
285,La Ronge,55.1001,-105.2842,64.65,72,40,10.36,CA,smoke
286,Blagoyevo,63.3667,47.9167,46.65,88,100,7.18,RU,overcast clouds
287,Berezovka,53.7214,25.4993,72.54,71,9,3.38,BY,clear sky
288,Taber,49.8167,-112.1518,65.71,53,0,5.75,CA,clear sky
289,Hami,42.8,93.45,94.42,26,41,5.61,CN,scattered clouds
290,Xichang,27.8964,102.2634,67.5,90,97,3.04,CN,overcast clouds
291,Bengkulu,-3.8004,102.2655,78.22,83,6,6.98,ID,clear sky
292,Iquique,-20.2208,-70.1431,62.64,67,72,4.36,CL,broken clouds
293,Matara,5.9485,80.5353,77.54,91,82,7.94,LK,broken clouds
294,Inuvik,68.3499,-133.7218,61.66,66,75,6.91,CA,broken clouds
295,Seydi,39.4816,62.9137,99.7,7,0,9.55,TM,clear sky
296,Griffith,41.5284,-87.4237,87.04,74,90,1.01,US,overcast clouds
297,Lokomotivnyy,53.0118,60.5684,68.45,72,100,4.68,RU,overcast clouds
298,Biak,-0.9131,122.8766,75.18,74,100,7.09,ID,overcast clouds
299,Ngunguru,-35.6167,174.5,53.17,82,55,14.54,NZ,broken clouds
300,Ajdabiya,30.7554,20.2263,83.39,50,0,17.29,LY,clear sky
301,Tuatapere,-46.1333,167.6833,39.81,84,100,7.61,NZ,overcast clouds
302,Grindavik,63.8424,-22.4338,53.55,100,75,14.97,IS,light intensity drizzle
303,Tromso,69.6496,18.957,57.85,87,75,4.0,NO,broken clouds
304,Chuy,-33.6971,-53.4616,67.15,69,48,2.51,UY,scattered clouds
305,Pacific Grove,36.6177,-121.9166,59.43,93,90,1.99,US,mist
306,San Jose,37.3394,-121.895,67.87,78,20,4.61,US,haze
307,Ballina,-28.8667,153.5667,56.79,59,1,13.69,AU,clear sky
308,Pechora,65.1472,57.2244,49.71,91,100,5.55,RU,overcast clouds
309,Les Cayes,18.2,-73.75,86.2,63,100,6.42,HT,overcast clouds
310,Japura,-0.3167,102.35,78.24,78,16,3.4,ID,few clouds
311,Harper,4.375,-7.7169,79.48,64,100,8.28,LR,overcast clouds
312,Salta,-24.7859,-65.4117,73.69,42,7,3.0,AR,clear sky
313,Nyurba,63.2842,118.3319,60.39,77,17,5.66,RU,few clouds
314,Uige,-7.6087,15.0613,91.15,12,0,5.08,AO,clear sky
315,Mattawa,46.7379,-119.9028,75.34,35,0,4.47,US,clear sky
316,Namie,37.4833,141.0,73.54,96,1,3.91,JP,clear sky
317,Bambous Virieux,-20.3428,57.7575,70.05,73,20,9.22,MU,few clouds
318,Dali,25.7,100.1833,65.8,89,100,3.6,CN,moderate rain
319,Henties Bay,-22.116,14.2845,77.86,32,0,7.56,NA,clear sky
320,Manacapuru,-3.2997,-60.6206,86.58,57,29,2.84,BR,scattered clouds
321,Kashary,49.04,41.0056,81.25,34,44,10.16,RU,scattered clouds
322,Nola,40.922,14.5329,95.27,59,0,8.01,IT,clear sky
323,Dingle,10.9995,122.6711,78.33,83,98,11.45,PH,overcast clouds
324,Imbituba,-28.24,-48.6703,71.49,52,0,7.72,BR,clear sky
325,Marienburg,54.0359,19.0266,76.87,60,27,9.8,PL,scattered clouds
326,Maneromango,-7.1988,38.7848,74.84,48,99,5.01,TZ,overcast clouds
327,Puerto Ayacucho,5.6639,-67.6236,80.91,82,87,3.33,VE,overcast clouds
328,Hamilton,39.1834,-84.5333,83.08,66,1,1.99,US,clear sky
329,Hambantota,6.1241,81.1185,80.31,81,82,15.84,LK,broken clouds
330,Peleduy,59.6289,112.7406,64.49,68,40,3.22,RU,scattered clouds
331,Chokurdakh,70.6333,147.9167,34.2,94,18,11.36,RU,few clouds
332,Rio Gallegos,-51.6226,-69.2181,41.05,60,0,9.22,AR,clear sky
333,Vuktyl,63.8567,57.3094,49.89,85,100,4.03,RU,overcast clouds
334,Mayo,38.8876,-76.5119,85.1,56,40,3.0,US,scattered clouds
335,Raduzhnyy,62.0961,77.475,68.86,94,98,6.91,RU,moderate rain
336,Chapais,49.7834,-74.8492,74.98,34,90,12.08,CA,overcast clouds
337,Daru,-9.0763,143.2092,78.26,85,98,12.66,PG,overcast clouds
